,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
7,1,3,667042,21,0,1,2,5,2,2,1,2,1,10,0,3,6230,1022337,7543,1,8
900,7,1,676880,10,1,1,2,14,4,2,1,1,3,10,2,3,12195,1102472,11614,1,8
2077,5,2,634878,11,0,1,2,13,4,2,1,1,2,13,2,2,11266,1329216,14799,1,6
1633,4,2,785956,16,0,4,5,18,3,2,1,2,3,10,4,3,9873,761518,10324,1,7
1594,6,1,181854,11,1,4,5,17,3,2,1,1,0,10,4,2,10764,799306,11207,1,9
839,5,2,709490,23,0,1,2,13,4,2,1,3,3,13,2,1,8413,1019833,9557,1,6
32,1,3,110747,15,1,1,2,5,2,2,1,3,1,10,0,1,11154,1294348,18851,1,6
2227,1,0,427434,15,0,2,3,15,2,2,5,3,3,10,2,1,11908,1209525,11201,1,7
1909,7,0,753710,14,0,5,6,19,6,5,4,3,1,10,6,2,7430,1322984,15136,1,7
2329,6,0,236071,19,0,2,3,15,2,2,5,2,3,11,2,3,3790,1404330,18847,1,7
985,7,1,219666,15,0,1,2,14,4,2,1,1,2,10,2,3,8590,1338020,15894,1,9
2282,1,0,720389,23,1,2,3,15,2,2,5,1,3,10,2,1,11730,466153,8950,1,6
401,3,4,319026,15,0,1,2,9,6,2,1,1,1,10,7,1,11767,1148021,13662,1,7
2011,5,2,141056,10,0,1,2,13,4,2,1,3,2,13,2,2,10953,876921,18059,1,6
1675,4,2,763280,24,0,4,5,18,3,2,1,1,3,10,0,3,5382,904259,8688,1,6
943,7,1,522064,22,0,1,2,14,4,2,1,2,3,10,2,3,6457,1138770,12296,1,6
719,6,2,241560,17,0,1,2,12,4,2,3,3,1,10,2,1,4226,660307,19554,1,9
2191,7,1,370497,14,0,1,2,14,4,2,1,1,2,10,2,1,6044,832407,13343,1,6
105,6,3,529936,24,0,1,2,6,2,2,1,2,1,10,0,3,7175,750247,11914,1,7
2150,7,1,640280,11,1,1,2,14,4,2,1,3,2,10,2,2,5618,1355500,7913,1,8
676,4,2,783755,24,1,1,2,11,5,3,3,3,1,10,7,1,4428,511901,8057,1,7
988,7,1,148617,10,1,1,2,14,4,2,1,2,2,10,2,2,11695,1303122,10864,1,8
346,7,4,412386,18,1,1,2,8,6,2,2,1,1,10,0,3,6683,457607,19018,1,6
2342,6,0,573353,20,1,2,3,15,2,2,5,2,3,11,2,3,6429,1314346,10185,1,6
2246,1,0,413562,22,1,2,3,15,2,2,5,3,3,10,2,3,9374,549051,15738,1,6
2320,6,0,390296,16,1,2,3,15,2,2,5,2,3,11,2,2,4245,1417309,16837,1,9
76,1,3,713740,24,1,1,2,5,2,2,1,3,1,10,0,2,3590,1270226,17089,1,8
2239,1,0,794388,11,0,2,3,15,2,2,5,2,3,10,2,3,7228,568244,14895,1,9
1402,3,4,140379,13,1,3,4,17,4,2,1,2,0,12,4,3,6721,1321427,7628,1,7
1355,7,4,262146,18,0,3,4,16,4,4,1,3,0,10,4,3,6681,592975,14446,1,7
2082,5,2,174386,20,1,1,2,13,4,2,1,2,2,13,2,2,11394,882547,12400,1,8
1433,3,4,484811,18,0,3,4,17,4,2,1,3,0,12,4,1,6834,1038151,18358,1,7
1959,7,0,505567,10,0,5,6,19,6,5,4,1,1,10,6,2,12510,1002611,7695,1,8
943,7,1,522064,22,0,1,2,14,4,2,1,2,3,10,2,3,6457,1138770,12296,1,6
787,6,2,233440,22,0,1,2,12,4,2,3,1,0,10,2,3,11319,1370329,17511,1,8
926,7,1,190894,17,1,1,2,14,4,2,1,1,3,10,2,3,3729,894876,12418,1,7
1566,6,1,627746,24,1,4,5,17,3,2,1,1,0,10,4,2,6690,1277933,12735,1,8
1532,6,1,548387,10,1,4,5,17,3,2,1,1,0,10,4,1,8662,604673,12723,1,7
1131,6,0,273829,11,0,2,3,15,2,2,5,3,2,11,2,2,7722,1164199,9196,1,7
1048,1,0,211492,19,1,2,3,15,2,2,5,2,2,10,2,3,8131,1333869,11617,1,8
1486,3,4,248025,19,1,3,4,17,4,2,1,1,0,12,4,2,7207,1093078,12215,1,9
1890,5,0,263219,24,1,5,6,19,5,2,4,2,3,10,3,3,5504,701420,13768,1,8
1684,4,2,555352,22,1,4,5,18,3,2,1,2,3,10,0,2,5933,1394287,11485,1,8
1273,2,1,128685,19,0,3,4,16,4,4,1,3,0,10,4,2,12096,667100,10966,1,8
926,7,1,190894,17,1,1,2,14,4,2,1,1,3,10,2,3,3729,894876,12418,1,7
959,7,1,352110,23,0,1,2,14,4,2,1,3,3,10,2,1,8212,429849,15779,1,8
1524,6,1,500588,10,1,4,5,17,3,2,1,3,0,10,4,3,3604,1190016,13722,1,7
1957,7,0,249722,11,0,5,6,19,6,5,4,1,1,10,6,2,11583,900209,15657,1,8
950,7,1,766599,14,1,1,2,14,4,2,1,2,3,10,2,1,8356,706051,12336,1,6
489,3,4,577256,18,0,1,2,9,6,2,1,2,1,10,7,1,5198,900080,17118,1,8
2059,5,2,674622,11,0,1,2,13,4,2,1,3,2,13,2,1,3754,1021826,13602,1,9
1828,5,0,166051,18,1,5,6,19,5,2,4,1,3,10,3,3,12561,801445,10840,1,6
2282,1,0,720389,23,1,2,3,15,2,2,5,1,3,10,2,1,11730,466153,8950,1,6
1067,1,0,650893,10,0,2,3,15,2,2,5,1,2,10,2,3,5189,797251,10204,1,6
2096,5,2,201473,13,1,1,2,13,4,2,1,2,2,13,2,2,9392,1171232,15474,1,8
1567,6,1,417295,14,0,4,5,17,3,2,1,2,0,10,4,2,12232,1129189,13544,1,8
1568,6,1,265347,20,1,4,5,17,3,2,1,3,0,10,4,1,9022,1137519,9269,1,8
489,3,4,577256,18,0,1,2,9,6,2,1,2,1,10,7,1,5198,900080,17118,1,8
319,7,4,122386,18,0,1,2,8,6,2,2,2,1,10,0,3,10746,1158705,13786,1,6
489,3,4,577256,18,0,1,2,9,6,2,1,2,1,10,7,1,5198,900080,17118,1,8
2,1,3,294133,19,1,1,2,5,2,2,1,3,1,10,0,2,4919,540489,12613,1,8
909,7,1,637937,21,0,1,2,14,4,2,1,2,3,10,2,3,4470,1109275,8925,1,8
2286,1,0,409617,15,1,2,3,15,2,2,5,3,3,10,2,3,5682,482164,12415,1,9
926,7,1,190894,17,1,1,2,14,4,2,1,1,3,10,2,3,3729,894876,12418,1,7
1566,6,1,627746,24,1,4,5,17,3,2,1,1,0,10,4,2,6690,1277933,12735,1,8
1659,4,2,189793,21,0,4,5,18,3,2,1,3,3,10,0,1,9229,1436085,13611,1,8
561,6,1,491654,21,0,1,2,10,2,3,1,2,1,12,7,2,5091,1158476,18945,1,8
194,6,3,335685,17,1,1,2,6,2,2,1,1,1,10,0,2,8299,717042,10691,1,9
1708,7,2,522745,12,1,4,5,18,3,2,1,3,3,13,0,3,4752,1391382,8156,1,9
1011,1,0,676528,17,0,2,3,15,2,2,5,2,2,10,2,2,4564,930359,16699,1,6
1823,5,0,603130,19,0,5,6,19,5,2,4,1,3,10,3,1,11408,535965,17815,1,6
830,5,2,360226,16,1,1,2,13,4,2,1,1,3,13,2,2,7917,1291878,12180,1,8
766,6,2,111234,13,1,1,2,12,4,2,3,3,1,10,2,1,6090,754040,16103,1,8
541,6,1,106169,24,0,1,2,10,2,3,1,2,1,12,7,3,5101,828442,9887,1,7
1646,4,2,723816,18,1,4,5,18,3,2,1,3,3,10,0,2,6136,480866,17943,1,6
1166,6,0,712488,15,1,2,3,15,2,2,5,1,2,11,2,1,7089,1022938,19736,1,8
1120,6,0,255563,12,1,2,3,15,2,2,5,2,2,11,2,2,5283,1080289,17098,1,7
805,5,2,720606,22,0,1,2,13,4,2,1,3,0,13,2,2,5709,825753,19973,1,9
2101,7,1,462020,11,0,1,2,14,4,2,1,2,2,10,2,3,12052,858408,8656,1,6
602,4,2,174217,15,1,1,2,11,5,3,3,2,1,10,7,3,4758,1259443,17014,1,7
821,5,2,636477,16,0,1,2,13,4,2,1,2,3,13,2,3,11509,1026785,13674,1,8
543,6,1,391288,23,0,1,2,10,2,3,1,2,1,12,7,1,9688,599392,18062,1,6
774,6,2,664414,19,1,1,2,12,4,2,3,3,1,10,2,3,9644,1363753,9730,1,7
1328,7,4,333565,16,1,3,4,16,4,4,1,1,0,10,4,2,5389,788939,19070,1,9
1929,7,0,351965,18,0,5,6,19,6,5,4,1,1,10,5,3,5215,989891,10670,1,9
1437,3,4,125443,18,0,3,4,17,4,2,1,2,0,12,4,1,8763,1373236,9257,1,6
1659,4,2,189793,21,0,4,5,18,3,2,1,3,3,10,0,1,9229,1436085,13611,1,8
1430,3,4,188901,21,1,3,4,17,4,2,1,3,0,12,4,3,10623,1148589,13633,1,8
2101,7,1,462020,11,0,1,2,14,4,2,1,2,2,10,2,3,12052,858408,8656,1,6
608,4,2,693519,13,1,1,2,11,5,3,3,2,1,10,7,2,4556,1215403,7611,1,9
612,4,2,121616,18,1,1,2,11,5,3,3,2,1,10,7,2,10960,421251,12227,1,6
2025,5,2,532388,17,0,1,2,13,4,2,1,1,2,13,2,1,4607,854792,19506,1,9
2220,1,0,292949,13,1,2,3,15,2,2,5,2,3,10,2,2,8169,1206559,15224,1,9
1395,7,4,698176,21,0,3,4,16,4,4,1,1,0,10,4,3,11105,1064970,8480,1,6
1959,7,0,505567,10,0,5,6,19,6,5,4,1,1,10,6,2,12510,1002611,7695,1,8
624,4,2,638027,12,1,1,2,11,5,3,3,1,1,10,7,3,11559,854342,13229,1,7
1707,7,2,664727,11,0,4,5,18,3,2,1,1,3,13,0,3,11347,1446192,9216,1,9
1182,6,0,115885,22,1,2,3,15,2,2,5,3,2,11,4,2,9676,1125383,18384,1,8
1056,1,0,292404,24,1,2,3,15,2,2,5,3,2,10,2,3,6919,861671,9386,1,8
602,4,2,174217,15,1,1,2,11,5,3,3,2,1,10,7,3,4758,1259443,17014,1,7
1430,3,4,188901,21,1,3,4,17,4,2,1,3,0,12,4,3,10623,1148589,13633,1,8
2311,6,0,126756,21,0,2,3,15,2,2,5,3,3,11,2,3,9932,1315823,11246,1,7
2,1,3,294133,19,1,1,2,5,2,2,1,3,1,10,0,2,4919,540489,12613,1,8
1208,2,1,539483,14,1,2,3,16,4,4,1,1,2,10,4,1,10021,1090168,14026,1,6
1025,1,0,232527,17,0,2,3,15,2,2,5,3,0,10,2,1,3994,1304657,17103,1,8
1882,5,0,401643,18,1,5,6,19,5,2,4,3,3,10,3,3,5283,770693,16950,1,7
108,6,3,115453,12,1,1,2,6,2,2,1,3,1,10,0,2,9685,1064534,11251,1,8
676,4,2,783755,24,1,1,2,11,5,3,3,3,1,10,7,1,4428,511901,8057,1,7
16,1,3,165982,12,1,1,2,5,2,2,1,3,1,10,0,2,7593,786953,10878,1,7
950,7,1,766599,14,1,1,2,14,4,2,1,2,3,10,2,1,8356,706051,12336,1,6
419,3,4,408061,21,0,1,2,9,6,2,1,3,1,10,7,2,11849,1286920,8263,1,7
841,5,2,402613,21,0,1,2,13,4,2,1,2,3,13,2,1,5963,1059808,13391,1,8
563,6,1,698200,21,0,1,2,10,2,3,1,2,1,12,7,3,10094,457058,11401,1,9
1662,4,2,115080,12,1,4,5,18,3,2,1,1,3,10,0,2,9575,1202172,17445,1,6
625,4,2,744346,21,0,1,2,11,5,3,3,1,1,10,7,2,6416,934811,14859,1,6
200,2,1,456764,11,1,1,2,7,6,2,2,2,1,11,0,2,9999,1334324,12142,1,7
518,6,1,134898,20,1,1,2,10,2,3,1,2,1,12,7,3,6960,1358631,19223,1,8
1729,7,2,468470,16,0,4,5,18,3,2,1,3,3,13,2,2,6508,696847,15073,1,9
1740,7,2,569005,16,1,4,5,18,3,2,1,3,3,13,2,3,5153,1030455,14409,1,7
427,3,4,631572,15,0,1,2,9,6,2,1,2,1,10,7,3,9309,672020,11220,1,8
1025,1,0,232527,17,0,2,3,15,2,2,5,3,0,10,2,1,3994,1304657,17103,1,8
934,7,1,278433,14,1,1,2,14,4,2,1,1,3,10,2,3,11038,522347,8499,1,8
471,3,4,670884,21,0,1,2,9,6,2,1,1,1,10,7,3,7738,1192009,9068,1,8
2096,5,2,201473,13,1,1,2,13,4,2,1,2,2,13,2,2,9392,1171232,15474,1,8
1959,7,0,505567,10,0,5,6,19,6,5,4,1,1,10,6,2,12510,1002611,7695,1,8
419,3,4,408061,21,0,1,2,9,6,2,1,3,1,10,7,2,11849,1286920,8263,1,7
631,4,2,657630,11,0,1,2,11,5,3,3,2,1,10,7,3,8120,1250565,7595,1,6
1395,7,4,698176,21,0,3,4,16,4,4,1,1,0,10,4,3,11105,1064970,8480,1,6
689,4,2,194781,11,0,1,2,11,5,3,3,1,1,10,2,3,5737,1060182,16555,1,9
680,4,2,626874,23,1,1,2,11,5,3,3,3,1,10,2,1,8302,832739,18774,1,8
2345,6,0,339461,15,0,2,3,15,2,2,5,2,3,11,2,1,10895,1388015,15256,1,7
1633,4,2,785956,16,0,4,5,18,3,2,1,2,3,10,4,3,9873,761518,10324,1,7
1115,6,0,553062,15,0,2,3,15,2,2,5,3,2,11,2,3,3851,1380587,13671,1,6
2079,5,2,263226,15,0,1,2,13,4,2,1,2,2,13,2,1,9989,761553,17424,1,6
1592,6,1,633296,18,1,4,5,17,3,2,1,2,0,10,4,3,9860,723987,19654,1,8
571,6,1,486906,10,0,1,2,10,2,3,1,3,1,12,7,1,12397,1084361,19974,1,9
798,6,2,775128,14,1,1,2,12,4,2,3,2,0,10,2,1,4109,588205,8363,1,9
1646,4,2,723816,18,1,4,5,18,3,2,1,3,3,10,0,2,6136,480866,17943,1,6
96,1,3,638121,17,1,1,2,5,2,2,1,3,1,10,0,2,11726,545646,7809,1,6
1901,7,0,768786,18,0,5,6,19,6,5,4,2,1,10,6,3,7968,1123028,15816,1,6
1951,7,0,203642,10,0,5,6,19,6,5,4,1,1,10,6,2,12431,1370286,15140,1,9
1528,6,1,784237,18,1,4,5,17,3,2,1,2,0,10,4,1,7252,708809,17065,1,8
55,1,3,783763,10,0,1,2,5,2,2,1,2,1,10,0,2,6819,1122740,11934,1,9
112,6,3,469773,17,1,1,2,6,2,2,1,1,1,10,0,3,11309,1014152,17727,1,8
939,7,1,488293,11,0,1,2,14,4,2,1,2,3,10,2,2,11278,507909,18041,1,6
1495,3,4,160577,15,0,3,4,17,4,2,1,1,0,12,4,2,8474,1315231,9303,1,8
2273,1,0,596964,23,0,2,3,15,2,2,5,1,3,10,2,2,11786,689318,13180,1,9
1818,5,0,769477,23,1,5,6,19,5,2,4,1,3,10,3,2,10795,1011030,19247,1,7
1131,6,0,273829,11,0,2,3,15,2,2,5,3,2,11,2,2,7722,1164199,9196,1,7
69,1,3,239044,22,0,1,2,5,2,2,1,3,1,10,0,2,8092,1089965,11775,1,9
931,7,1,565390,13,0,1,2,14,4,2,1,3,3,10,2,3,8676,974566,8154,1,6
1115,6,0,553062,15,0,2,3,15,2,2,5,3,2,11,2,3,3851,1380587,13671,1,6
1132,6,0,789589,23,1,2,3,15,2,2,5,2,2,11,2,2,5889,945072,17171,1,6
1991,7,0,148014,18,0,5,6,19,6,5,4,1,1,10,1,1,6899,541331,13217,1,7
1882,5,0,401643,18,1,5,6,19,5,2,4,3,3,10,3,3,5283,770693,16950,1,7
2114,7,1,546305,15,1,1,2,14,4,2,1,2,2,10,2,1,4203,1053023,9003,1,8
2205,1,0,618973,17,0,2,3,15,2,2,5,3,2,10,2,1,9696,493090,11280,1,8
793,6,2,155541,12,0,1,2,12,4,2,3,1,0,10,2,2,8157,651013,10024,1,8
157,6,3,593441,11,0,1,2,6,2,2,1,1,1,10,0,2,5224,1397221,17395,1,7
2105,7,1,311345,19,0,1,2,14,4,2,1,1,2,10,2,2,7966,797032,10537,1,8
36,1,3,540688,18,1,1,2,5,2,2,1,1,1,10,0,2,10565,757268,17968,1,7
731,6,2,477653,19,0,1,2,12,4,2,3,2,1,10,2,3,6564,981908,15489,1,9
909,7,1,637937,21,0,1,2,14,4,2,1,2,3,10,2,3,4470,1109275,8925,1,8
652,4,2,718250,20,1,1,2,11,5,3,3,1,1,10,7,2,9493,841883,15408,1,6
1973,7,0,507073,13,0,5,6,19,6,5,4,3,1,10,8,2,6373,549930,11163,1,9
151,6,3,241807,14,0,1,2,6,2,2,1,1,1,10,0,2,6134,849370,7725,1,6
1523,6,1,461644,13,0,4,5,17,3,2,1,3,0,10,4,2,7350,534613,12085,1,6
2120,7,1,711774,22,1,1,2,14,4,2,1,3,2,10,2,3,6037,1167123,17741,1,8
419,3,4,408061,21,0,1,2,9,6,2,1,3,1,10,7,2,11849,1286920,8263,1,7
108,6,3,115453,12,1,1,2,6,2,2,1,3,1,10,0,2,9685,1064534,11251,1,8
1120,6,0,255563,12,1,2,3,15,2,2,5,2,2,11,2,2,5283,1080289,17098,1,7
1437,3,4,125443,18,0,3,4,17,4,2,1,2,0,12,4,1,8763,1373236,9257,1,6
2059,5,2,674622,11,0,1,2,13,4,2,1,3,2,13,2,1,3754,1021826,13602,1,9
1197,6,0,101209,24,0,2,3,15,2,2,5,3,2,11,4,2,11733,1023589,11836,1,8
755,6,2,125416,12,0,1,2,12,4,2,3,3,1,10,2,2,8474,903003,9323,1,9
419,3,4,408061,21,0,1,2,9,6,2,1,3,1,10,7,2,11849,1286920,8263,1,7
510,6,1,200412,17,1,1,2,10,2,3,1,1,1,12,7,3,10941,463336,16753,1,6
791,6,2,596721,16,0,1,2,12,4,2,3,1,0,10,2,2,5148,461466,11922,1,9
1024,1,0,394977,15,1,2,3,15,2,2,5,2,0,10,2,1,8686,1007155,16566,1,9
680,4,2,626874,23,1,1,2,11,5,3,3,3,1,10,2,1,8302,832739,18774,1,8
1028,1,0,127738,24,1,2,3,15,2,2,5,2,0,10,2,2,3757,1016435,9274,1,9
1304,7,4,571653,10,1,3,4,16,4,4,1,1,0,10,4,1,12328,744368,19484,1,8
554,6,1,520746,13,1,1,2,10,2,3,1,3,1,12,7,1,4350,487554,17628,1,9
38,1,3,119973,22,1,1,2,5,2,2,1,2,1,10,0,1,7443,1409154,19932,1,7
2286,1,0,409617,15,1,2,3,15,2,2,5,3,3,10,2,3,5682,482164,12415,1,9
2300,6,0,555980,18,1,2,3,15,2,2,5,2,3,11,2,1,12434,754168,18893,1,9
1304,7,4,571653,10,1,3,4,16,4,4,1,1,0,10,4,1,12328,744368,19484,1,8
1145,6,0,694935,14,0,2,3,15,2,2,5,3,2,11,2,2,5618,460373,18780,1,6
641,4,2,622209,13,0,1,2,11,5,3,3,3,1,10,7,1,6615,1253154,16866,1,7
2026,5,2,418285,21,1,1,2,13,4,2,1,2,2,13,2,3,6786,1132938,9232,1,9
1567,6,1,417295,14,0,4,5,17,3,2,1,2,0,10,4,2,12232,1129189,13544,1,8
427,3,4,631572,15,0,1,2,9,6,2,1,2,1,10,7,3,9309,672020,11220,1,8
1594,6,1,181854,11,1,4,5,17,3,2,1,1,0,10,4,2,10764,799306,11207,1,9
1006,1,0,446698,10,1,2,3,15,2,2,5,2,2,10,2,2,4671,1333396,12833,1,6
742,6,2,525276,17,1,1,2,12,4,2,3,3,1,10,2,1,6044,991818,13501,1,7
116,6,3,435307,18,1,1,2,6,2,2,1,1,1,10,0,3,12012,877950,11217,1,8
1973,7,0,507073,13,0,5,6,19,6,5,4,3,1,10,8,2,6373,549930,11163,1,9
2186,7,1,683025,14,1,1,2,14,4,2,1,2,2,10,2,3,10146,678095,19158,1,8
1677,4,2,771573,16,0,4,5,18,3,2,1,3,3,10,0,3,12167,463373,18678,1,6
2150,7,1,640280,11,1,1,2,14,4,2,1,3,2,10,2,2,5618,1355500,7913,1,8
2082,5,2,174386,20,1,1,2,13,4,2,1,2,2,13,2,2,11394,882547,12400,1,8
105,6,3,529936,24,0,1,2,6,2,2,1,2,1,10,0,3,7175,750247,11914,1,7
44,1,3,565418,22,1,1,2,5,2,2,1,1,1,10,0,1,10723,1179235,9137,1,6
1293,2,1,689778,15,0,3,4,16,4,4,1,2,0,10,4,2,9408,930004,9679,1,9
2105,7,1,311345,19,0,1,2,14,4,2,1,1,2,10,2,2,7966,797032,10537,1,8
1645,4,2,147904,16,0,4,5,18,3,2,1,2,3,10,0,2,5571,854466,8633,1,8
1956,7,0,369403,13,1,5,6,19,6,5,4,2,1,10,6,2,6652,1075948,11357,1,6
600,4,2,191980,19,1,1,2,11,5,3,3,2,1,10,7,2,4672,1084870,8833,1,8
378,7,4,554515,23,1,1,2,8,6,2,2,2,1,10,7,2,10132,806454,11508,1,7
1465,3,4,601950,10,0,3,4,17,4,2,1,1,0,12,4,3,9411,634942,10728,1,9
185,6,3,738038,17,0,1,2,6,2,2,1,1,1,10,0,1,4446,476535,10201,1,9
2329,6,0,236071,19,0,2,3,15,2,2,5,2,3,11,2,3,3790,1404330,18847,1,7
787,6,2,233440,22,0,1,2,12,4,2,3,1,0,10,2,3,11319,1370329,17511,1,8
544,6,1,213723,13,1,1,2,10,2,3,1,2,1,12,7,3,8120,1159326,8982,1,7
623,4,2,270087,13,0,1,2,11,5,3,3,3,1,10,7,2,6402,1228742,16626,1,7
1260,2,1,204599,19,1,3,4,16,4,4,1,3,0,10,4,3,11783,1138519,17237,1,9
2300,6,0,555980,18,1,2,3,15,2,2,5,2,3,11,2,1,12434,754168,18893,1,9
1409,3,4,654199,14,0,3,4,17,4,2,1,2,0,12,4,2,6381,714564,17405,1,7
1209,2,1,504683,21,0,2,3,16,4,4,1,3,2,10,4,2,4209,1047498,19597,1,7
200,2,1,456764,11,1,1,2,7,6,2,2,2,1,11,0,2,9999,1334324,12142,1,7
1838,5,0,458732,21,1,5,6,19,5,2,4,2,3,10,3,1,7355,523248,17939,1,8
1057,1,0,661328,14,0,2,3,15,2,2,5,1,2,10,2,2,12432,1098374,13184,1,6
194,6,3,335685,17,1,1,2,6,2,2,1,1,1,10,0,2,8299,717042,10691,1,9
2311,6,0,126756,21,0,2,3,15,2,2,5,3,3,11,2,3,9932,1315823,11246,1,7
7,1,3,667042,21,0,1,2,5,2,2,1,2,1,10,0,3,6230,1022337,7543,1,8
426,3,4,375360,23,1,1,2,9,6,2,1,1,1,10,7,3,5037,1363352,11963,1,9
802,5,2,151652,10,1,1,2,13,4,2,1,2,0,13,2,2,6999,899895,11954,1,8
1438,3,4,491975,14,1,3,4,17,4,2,1,2,0,12,4,2,8156,869835,19079,1,7
152,6,3,151474,22,1,1,2,6,2,2,1,3,1,10,0,1,12430,753494,9126,1,7
1073,1,0,550857,20,0,2,3,15,2,2,5,1,2,10,2,2,10921,720052,9487,1,6
1512,6,1,221390,24,1,4,5,17,3,2,1,2,0,10,4,2,11260,1225572,11768,1,8
442,3,4,157057,18,1,1,2,9,6,2,1,1,1,10,7,1,10532,887233,9444,1,7
518,6,1,134898,20,1,1,2,10,2,3,1,2,1,12,7,3,6960,1358631,19223,1,8
226,2,1,323720,11,1,1,2,7,6,2,2,3,1,11,0,3,8558,744996,18095,1,8
1430,3,4,188901,21,1,3,4,17,4,2,1,3,0,12,4,3,10623,1148589,13633,1,8
1960,7,0,124485,23,1,5,6,19,6,5,4,3,1,10,8,3,10110,964199,16661,1,6
514,6,1,364202,23,1,1,2,10,2,3,1,2,1,12,7,2,6200,1193008,10085,1,9
553,6,1,589622,18,0,1,2,10,2,3,1,3,1,12,7,1,12532,1169422,11899,1,9
1594,6,1,181854,11,1,4,5,17,3,2,1,1,0,10,4,2,10764,799306,11207,1,9
226,2,1,323720,11,1,1,2,7,6,2,2,3,1,11,0,3,8558,744996,18095,1,8
2106,7,1,716179,12,1,1,2,14,4,2,1,3,2,10,2,1,5290,646239,15552,1,9
401,3,4,319026,15,0,1,2,9,6,2,1,1,1,10,7,1,11767,1148021,13662,1,7
515,6,1,520712,19,0,1,2,10,2,3,1,1,1,12,7,2,10593,1219639,11242,1,6
2257,1,0,496594,18,0,2,3,15,2,2,5,3,3,10,2,2,8920,771973,8089,1,7
2021,5,2,255679,21,0,1,2,13,4,2,1,1,2,13,2,3,10337,1270148,19514,1,8
970,7,1,726685,14,1,1,2,14,4,2,1,3,3,10,2,2,7271,1254275,11183,1,9
1090,1,0,440004,12,1,2,3,15,2,2,5,1,2,10,2,1,10288,1329342,8089,1,9
778,6,2,334085,15,1,1,2,12,4,2,3,2,1,10,2,3,8683,842194,14852,1,6
1849,5,0,463641,24,0,5,6,19,5,2,4,1,3,10,3,1,5320,1138181,17716,1,8
2348,6,0,393555,14,1,2,3,15,2,2,5,2,3,11,2,2,5011,673748,13892,1,7
1011,1,0,676528,17,0,2,3,15,2,2,5,2,2,10,2,2,4564,930359,16699,1,6
297,2,1,378084,16,0,1,2,7,6,2,2,1,1,11,0,1,10107,795799,16033,1,6
636,4,2,466117,23,1,1,2,11,5,3,3,3,1,10,7,2,10902,613608,14541,1,9
1789,7,2,133269,12,0,5,6,18,3,2,1,3,3,13,2,3,6005,1340551,8678,1,7
346,7,4,412386,18,1,1,2,8,6,2,2,1,1,10,0,3,6683,457607,19018,1,6
1135,6,0,581556,10,0,2,3,15,2,2,5,2,2,11,2,1,6482,937687,16753,1,6
909,7,1,637937,21,0,1,2,14,4,2,1,2,3,10,2,3,4470,1109275,8925,1,8
270,2,1,491741,11,1,1,2,7,6,2,2,1,1,11,0,1,4371,1104033,15636,1,9
152,6,3,151474,22,1,1,2,6,2,2,1,3,1,10,0,1,12430,753494,9126,1,7
391,7,4,234470,10,0,1,2,8,6,2,2,2,1,10,7,3,9282,1164420,10508,1,8
1882,5,0,401643,18,1,5,6,19,5,2,4,3,3,10,3,3,5283,770693,16950,1,7
832,5,2,699187,18,1,1,2,13,4,2,1,2,3,13,2,2,3964,1189144,15731,1,6
900,7,1,676880,10,1,1,2,14,4,2,1,1,3,10,2,3,12195,1102472,11614,1,8
1960,7,0,124485,23,1,5,6,19,6,5,4,3,1,10,8,3,10110,964199,16661,1,6
1780,7,2,302577,14,1,5,6,18,3,2,1,1,3,13,2,1,5861,668241,19083,1,6
1408,3,4,492356,10,1,3,4,17,4,2,1,3,0,12,4,3,9232,979225,9342,1,7
2220,1,0,292949,13,1,2,3,15,2,2,5,2,3,10,2,2,8169,1206559,15224,1,9
1147,6,0,794062,18,0,2,3,15,2,2,5,3,2,11,2,2,7553,796169,19088,1,8
1025,1,0,232527,17,0,2,3,15,2,2,5,3,0,10,2,1,3994,1304657,17103,1,8
1482,3,4,581831,18,1,3,4,17,4,2,1,3,0,12,4,2,9391,1117820,16943,1,6
59,1,3,659582,23,0,1,2,5,2,2,1,2,1,10,0,1,6153,662544,12732,1,9
2142,7,1,634327,14,1,1,2,14,4,2,1,2,2,10,2,3,10261,929635,19244,1,9
421,3,4,200324,11,0,1,2,9,6,2,1,2,1,10,7,1,10930,913198,18264,1,9
753,6,2,655565,22,0,1,2,12,4,2,3,3,1,10,2,1,7933,862042,12048,1,7
919,7,1,252061,19,0,1,2,14,4,2,1,2,3,10,2,1,6302,1274066,15165,1,8
1828,5,0,166051,18,1,5,6,19,5,2,4,1,3,10,3,3,12561,801445,10840,1,6
1320,7,4,596777,17,1,3,4,16,4,4,1,1,0,10,4,1,8305,1423457,13104,1,9
2114,7,1,546305,15,1,1,2,14,4,2,1,2,2,10,2,1,4203,1053023,9003,1,8
34,1,3,362448,14,1,1,2,5,2,2,1,1,1,10,0,1,3698,538308,14981,1,6
1388,7,4,449075,18,1,3,4,16,4,4,1,3,0,10,4,1,9005,1413315,18905,1,6
